"name","institution"
"Leandro Tonetto","Universidade do Vale do Rio dos Sinos"
"Huda Taha","1GU/HIV Medicine, Coventry and Warwickshire Partnership Trust, Coventry, UK"
"Nadhrathul Ain Bt Ibrahim","UiTM Shah Alam"
"Lawrence Garber","Elon University and Institute of Management Technology"
"Rie Chiba","School of Nursing, Jichi Medical University, 3311-159, Yakushiji, Shimotsuke-shi, Tochigi, 329-0498, Japan"
"Katrien De Wilde","Odisee University College"
"William Tullar","UNC - Greensboro"
"Thomas Foulkes","Engineering University of Illinois at Urbana-Champaign"
"Andrew Kirkpatrick","University of Calgary"
"Xavier Triado-Ivern","University of Barcelona"
"Corbin Reno","Pennsylvania State University, University Park, PA, USA"
"Luzia Helfer","Department of Political Science, Leiden Univerrsity"
"Vineet Chopra","University of Michigan Medical School, Ann Arbor"
"Cheng-Kar Phang","Department of Psychiatry, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia (UPM), Selangor, Malaysia"
"Peter Anderson","Teesside University"
"Melissa L. Rorie","University of Nevada"
"Charles Gonson","IFREMER, UR Lagons, Ecosystèmes et Aquaculture Durable en Nouvelle Calédonie"
"Jeffery C Huffman","Massachusetts General Hospital"
"Bin Gao","School of Electronics and Information, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu, 212003, China"
"Joanne Crawford","Faculty of Applied Health Sciences, Department of Nursing, Brock University, 1812 Sir Isaac Brock Way, St. Catharines, ON, L2S 3A1, Canada"
"Pinar Kuecuekbalaban","Ernst-Moritz-Arndt-University"
"Merete Monrad","Aalborg University"
"Réka Szigeti","Eötvös Loránd University (ELTE PPK)"
"Jesus Escalante","Universitat Politècnica de Catalunya, Spain"
"Robert Strader","Capella University"
"Alexander Coppock","Department of Political Science, Yale University, New Haven, CT"
"Inbal Nahum-Shani","The University of Michigan-Ann Arbor"
"Blaine Robbins","New York University, University of California, Berkeley Abu Dhabi United Arab Emirates"
"Tiago Correia","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal"
"Diana Kontsevaia","Bentley University Waltham, MA, U.S.A."
"Sergio Herzog","Hebrew University of Jerusalem Israel"
"Francisco Ruiz","Facultad de Psicología, Fundación Universitaria Konrad Lorenz, Bogotá, Colombia"
"Catarina Machado Azeredo","School of Medicine—Federal University of Uberlandia (Faculdade de Medicina—Universidade Federal de Uberlândia), Uberlandia, Brazil"
"Jasper Hotho","Department of International Economics, Government and BusinessCopenhagen Business SchoolFrederiksbergDenmark"
"Satomi Doi","Department of Global Health Promotion, Tokyo Medical and Dental University, Tokyo, Japan, National Center of Neurology and Psychiatry, National Center for Cognitive Behavior Therapy and Research, Tokyo, Japan"
"Ali Nejat","Texas Tech University"
"Kevin Elliott","Lyman Briggs College, Department of Fisheries and Wildlife, Department of Philosophy, Michigan State University, East Lansing, Michigan, United States of America"
"Rathie Rajendram","Moorfields Eye Hospital NHS Foundation"
"Jordan Lamberton","University of the Pacific"
"Oliver Hirsch","Philipps University of Marburg"
"Arash Rahafar","University of Tübingen"
