"","name","institution","delete"
"210","Oliver Hirsch","Philipps University of Marburg",""
"211","Arash Rahafar","University of Tübingen",""
"212","Jane Wardle","Health Behaviour Research Centre, Department of Epidemiology and Public Health",""
"213","Hervé Caci","2Hôpitaux Pédiatrique de Nice–CHU Lenval, France",""
"214","Unsal Sigri","Department of Sport Management, Baskent University, Ankara, Turkey",""
"215","C.M. Chiejine","University of Benin",""
"216","Eduardo Valenzuela Carvallo","University of Chile",""
"217","Andrew Callaway","Bournemouth University",""
"218","Ahmad Esmaillzadeh","Tehran University of Medical Sciences",""
"219","Matthias Sutter","U0niversity of Cologne, University of Innsbruck, CESifo Munich and IZA Bonn",""
"220","Mohammad Hesam Jahanmiri","Islamic Azad University",""
"221","Dan Su","Department of Educational Psychology, University of Wisconsin-Madison, Madison, WI, USA",""
"222","Aditi Sharma","Department of Public Health Dentistry, Surendera Dental College and Research Institute, Sri Ganganagar, Rajasthan, India",""
"223","Nataly Agudelo","Catholic University of Pereira",""
"224","Ulrich Wagner","Universität Mannheim",""
"225","Angelo Sabatini","The BioRobotics Institute, Scuola Superiore Sant’Anna, Pisa, Italy",""
"226","J. Savulescu","Oxford Uehiro Centre for Practical Ethics, University of Oxford, Suite 8, Littlegate House, St Ebbes St, Oxford, OX1 1PT, UK",""
"227","E Geoffrey Playford","Griffith University",""
"228","Appa Gangolu","Indian Institute of Technology Madras",""
"229","Thomas Efferth","University of Mainz",""
"230","Yishan Li","Beijing Normal University",""
"231","Henrik Friis","University of Copenhagen",""
"232","Salma Mouline","Mohammed V University",""
"233","Yves Le Fur","Centre des Sciences du Goût et de l'Alimentation (CSGA)",""
"234","P Mukilan","Debre Berhan University",""
"235","Ingrid Farreras","Hood College",""
"236","Davoud Shojaeizadeh","Tehran University of Medical Sciences",""
"237","Amit Acharya","Marshfield Clinic Research Institute, Marshfield, WI, US",""
"238","Lars Johan Materstvedt","Department of Philosophy and Religious Studies, Faculty of Humanities, Norwegian University of Science and Technology (NTNU), Trondheim, Norway",""
"239","Zohreh Sepehri Shamloo","Mashhad Ferdowsi UniversityMashhadIran",""
"240","Damla Gökşen","Ege University Faculty of Medicine, Department of Pediatric Endocrinology, İzmir, Turkey","x"
"241","Pankaj Sharma","National University",""
"242","Angel Rollon-Mayardormo","Virgin Macarena University",""
"243","Jasmin Tiro","University of Texas Southwestern Medical Center",""
"244","Jeffrey Hallam","Kent State University",""
"245","Joseph Varghese","MOSC Medical College, Kolenchery, Kerala",""
"246","Pablo Vallejo Medina","Universitaria Konrad Lorenz, Bogotá",""
"247","Joachim K. Winter","University of Munich",""
"248","Richard Van Horn","University of Oklahoma",""
"249","Sheng Ji Tang","School of Electrical and Electronic Engineering , The University of Manchester",""
"250","Irene Fernández","Universidad de Valencia (Spain)",""
"251","Nawel Helali","Laboratory of Natural Water Treatment Center of Researches and Water Technologies Soliman Tunisia",""
"252","Lea Skorin-Kapov","Faculty of Electrical Engineering and ComputingUniversity of Zagreb, Zagreb, Croatia",""
"253","Andreas Hensel","University of Münster","x"
"254","J. Louviere","University of Utah",""
