"name","institution","delete"
"Claudia Diehl","Universität Konstanz, Fachbereich Geschichte und Soziologie",""
"Isabelle Stadelmann-Steffen","University of Bern",""
"Esther Vega Gea","Universidad de Sevilla",""
"Jing Zhang","San Jose State University",""
"Alison Oates","College of Kinesiology",""
"Chao Li","Chongqing Key Laboratory of Computational IntelligenceChongqing University of Posts and Telecommunications",""
"Claude Scheuer","Institute for Applied Educational  Sciences",""
"David Gefen","Drexel University",""
"Anders Molander","Oslo and Akershus University College",""
"María B. Becerra","Instituto Tecnológico de San Juan del Río",""
"Avidit Acharya","Cambridge University",""
"Chloë FitzGerald","Faculty of Medicine University of Geneva",""
"Samuel Smith","Queen Mary University",""
"Petra Dickel","University of Kiel, Institute for Innovation Research, Westring 425, 24118 Kiel, Germany",""
"Siobhan McMahon","University of Minnesota",""
"ULF LIEBE","University of Bern",""
"Shalki Choudhary","Molecular Modelling Lab (MML), Department of Pharmaceutical Sciences and Drug research, Punjabi University, Patiala, Punjab, 147002, India",""
"Daniel Pascual","University of Santiago de Compostela",""
"Abdullah Mamun","Jessore University of Science & Technology",""
"PÉTER BALOGH","University of Szeged",""
"Megan R. Crawford","Corresponding author at: Rush University Medical Center, 1653 W. Congress Parkway, Chicago, IL 60612-3833, United States.",""
"Kie Zuraw","Linguistic Society of America",""
"Pascal Meier","Universität Osnabrück",""
"Dan Su","University of Wisconsin",""
"Daniel O'Donnell","Michigan State University",""
"RIDOLFI LIVIA","A Factorial Survey Design. Speech presented at: 29th Annual Conference of the Human Behavior and Evolution Society, Boise ID, Usa.",""
"Joshua Thorpe","Corporal Michael J. Crescenz VA Medical Center",""
"Pierrick Haffray","SYSAAF, LPGP, Campus de Beaulieu, F-35042 Rennes, France",""
"Rodrigo Junqueira Leão","Brazilian Synchrotron Light Laboratory",""
"Laura Beskow","Duke University School of Medicine",""
"Lauren Barnett","Keele University",""
"Yu Li","Advanced Digital Sciences Center, Singapore",""
"Suzanne E Reich","School of Social Science , University of Queensland,St.Lucia,Australia",""
"Subir Ghosh","University of California, Riverside, USA",""
"Lynne M. Gordon","University of Washington",""
"Alemayehu Argaw","Jimma University",""
"Sophie Laforest","Université de Montréal",""
"Dexin Shi","University of Oklahoma",""
"{} J.Wenger","Florida State University",""
"Gregory Porumbescu","Rutgers University Newark",""
"Mehdi Srifi","Mohammed V University",""
"Jordan Barlow","University of St. Thomas",""
"Alexander Tsai","Mbarara University of Science and Technology",""
"Susana Ivonne Aguirre Vázquez","Autonomous University of Chihuahua",""
"Elizabeth MacDougall","Hood College, Frederick, Maryland, USA",""
"Sarah Schäfer","Saarland University",""
"A.L.S. Rocha1","Universidade Federal Rural do Semi-Árido (CMPF), 59.900-970, Pau dos Ferros – RN, Brasil",""
"Ghazaleh Abedi","Department of Chemistry, Faculty of Physics & Chemistry, Alzahra University, Vanak, Tehran, Iran",""
"Sverre Bergh","Vestfold Hospital Trust",""
"Michael Mugavero","University of Alabama",""
"Derek R MacFadden","Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada",""
"Ali Sagheer","University of Anbar",""
"David Hughes","Human Mutation",""
"Ken O’Day","Xcenda",""
"Candice Garwood","Harper University Hospital, Detroit Medical Center & Wayne State University",""
"Rosalind Raine","Department of Applied Health Research, UCL",""
"Dinorah Garcia-Romero","Universidad Cooperativa de Colombia",""
"Gianmarco Altoè","University of Padua",""
"Anja S. Göritz","Institute of Psychology, University of Freiburg",""
"Muddassar Farooq","Cryptography and Security",""
"J. Megías Garrigós","General University Hospital of Alicante",""
"Sutirtha Chatterjee","University of Nevada",""
"S. Meera","Indian Institute of Tourism and Travel Management, Nellore, Andhra Pradesh, India",""
"G.R.K. Sastry","Department of Mechanical Engineering, National Institute of Technology Agartala, Tripura 799046, India",""
"Tharayil M Harish","Department of Psychiatry, Government Medical College, Kozhikode",""
"Graça Carapinheiro","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal",""
"Sutirtha Chatterjee","University of Nevada, Las Vegas",""
"Takami Yasuda","Graduate School of Informatics Department of Social, Informatics Nagoya University, Nagoya, Japan",""
"Single Single","Single",""
"Joop Schippers","Utrecht University School of Governance",""
"Philip Menard","University of South Alabama",""
"Tenzin Wangmoa","Institute for Biomedical Ethics, University of Basel, Switzerland",""
"Scott Klarenbach","University of Alberta",""
"Caballer Antonio","Raquel National Association of Evolutionary and Educational Psychology of Children",""
"Andrew Siegel","Argonne National Laboratory",""
"Dong-Hui Jen","Department of Chinese Medicine, Chi-Mei Medical Center, No. 901, Chung Hwa Road, Yung Kung Dist, Tainan, 710, Taiwan",""
"Ulemu Luhanga","School of Medicine, Emory University , Atlanta, GA, USA",""
"Kisangiri Michael","Cornell University",""
"Carmen Gómez-Berrocal","Mind, Brain, and Behavior Research Center (CIMCYC), Universidad de Granada, Spain",""
"Giuliano Bonoli","Malmö Institute for Studies of Migration, Diversity and Welfare (MIM)",""
"LM Sturzu","Lorraine University",""
"Michela Cameletti","University of Bergamo, Italy",""
"Lemuria Carter","Information Systems at Virginia Commonwealth University",""
"John J. Dziak","The Methodology Center, The Pennsylvania State University",""
"Meng Tang","Southeast University",""
"Rodrigo A. Asún","University of Chile",""
"VIVIAN W. Q. LOU","The University of Hong Kong.",""
"Jay Schulkin","Research Department, American College of Obstetricians & Gynecologists, Washington, District of Columbia",""
"Single Single","Single",""
"Shikha Kapoor","Scale Development and Factorial Analysis of Shared leadership  in the Context of Indian IT Sector",""
"Jung Shian Li","National Cheng Kung University",""
"Unsal Sigri","Baskent University",""
"Leah Tuzzio","Group Health Research Institute",""
"Emily Erikson Erikson","Yale University",""
"Valerie Luyckx","University of Zurich",""
"Sutirtha Chatterjee","University of Nevada, Las Vegas",""
"Kelvin Peh","University of Southampton",""
"Julian Jamison","Global Insights Initiative, The World Bank, 1818 H St NW, Washington, DC, United States",""
"I Boroujeni","College of Agriculture",""
"Jeremy Grimshaw","Clinical Epidemiology Program, Ottawa Hospital Research Institute, Ottawa, Canada Department of Medicine, University of Ottawa, Ottawa, Canada",""
"Mônica Martins","Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz, Rio de Janeiro, Brasil.",""
"Matthias Holenstein","Risk Dialogue Foundation",""
"Claudio Thieme","Universidad Diego Portales",""
"Gary Canivez","Eastern Illinois University",""
"Daniel L. Villeneuve","U.S. EPA, Mid-Continent Ecology Division, 6201 Congdon Boulevard, Duluth, Minnesota 55804, United States",""
"Donna Fitzsimons","Head of School of Nursing and Midwifery, Queen’s University, Belfast, Northern Ireland, United Kingdom; and All Ireland Institute of Hospice & Palliative Care, Dublin, Ireland.",""
"Allan Peterson","University of Nebrska-Lincoln",""
"Peter Bentler","University of California",""
"N. de Castro Leandro","Public university",""
"Andy McEwen","Department of Behavioural Science and Health, University College London, Gower Street, London, WC1E 6BT, UK",""
"JOHN STEPHENSON","University of Huddersfield",""
"Rosendo Rodriguez","From the Department of Medicine (M.C.F.S., R.R.) and Division of Neurology (M.C.F.S.), and School of Public Health, Preventive Medicine and Epidemiology (M.C.F.S., M.P.), University of Ottawa, Ontario, Canada; Ottawa Hospital Research Institute, Ottawa, Ontario, Canada (M.C.F.S., R.R.); Department of Neurology, University of California San Francisco (K.M., A.S.K.); and Department of History (F.W.S.), Department of Community Health Sciences (F.W.S., E.E.S.), and Department of Clinical Neurosciences (E.E.S.), University of Calgary, Alberta, Canada.",""
"Hermann Faller","Department of Medical Psychology and Psychotherapy, Medical Sociology and Rehabilitation Sciences, University of Würzburg, Klinikstrasse 3, 97070, Würzburg, Germany",""
"Niels Hansen","University of Copenhagen",""
"César González-Blanch","University Hospital “Marqués de Valdecilla”",""
